index,message,conversation_id,topic_id,romanisation_label,lang_label,english,romanised_arabic,native_arabic,romanised_russian,native_russian,romanised_farsi,native_farsi,special
194,ala 3rft that they mshtrkyn alsnada fa almhrjan frq jalyza alzmalk w art twk jalyry dwl 7alya ala sm3t 3nhm,6607974556,organise_event,mixed,"en, ar-Eg","[(9, 13), (14, 18), (69, 72)]","[(0, 3), (4, 8), (19, 27), (28, 35), (36, 38), (39, 47), (48, 51), (52, 58), (59, 66), (67, 68), (73, 76), (77, 83), (84, 87), (88, 93), (94, 97), (98, 102), (103, 107)]",[],[],[],[],[],[]
659,econd alqra2a t3ml 3la tnmya mharat all3'a waltwa9l mn khlal qra2a alktb walmqalat wymkn t3lm mfrdat jdyda wt7syn qwa3d all3'a waln7w mma yw2da ala t7sn mharat altwa9l bshkl 3am,6608164058,random,mixed,"en, ar-Eg",[],"[(0, 5), (6, 13), (14, 18), (19, 22), (23, 28), (29, 35), (36, 42), (43, 51), (52, 54), (55, 60), (61, 66), (67, 72), (73, 82), (83, 88), (89, 93), (94, 100), (101, 106), (107, 113), (114, 119), (120, 126), (127, 133), (134, 137), (138, 143), (144, 147), (148, 152), (153, 159), (160, 167), (168, 173), (174, 177)]",[],[],[],[],[],[]
1686,da jw zy alfl for real 93b awy,6610881762,discuss_weather,mixed,"en, ar-Eg","[(14, 17), (18, 22)]","[(0, 2), (3, 5), (6, 8), (9, 13), (23, 26), (27, 30)]",[],[],[],[],[],[]
1787,mug of tea will make you feel a7san.,6612246568,discuss_weather,mixed,"en, ar-Eg","[(0, 3), (4, 6), (7, 10), (11, 15), (16, 20), (21, 24), (25, 29)]","[(30, 35)]",[],[],[],[],[],[]
1807,ure atf9'ly,6612569535,teach_general,mixed,"en, ar-Eg",[],"[(0, 3), (4, 11)]",[],[],[],[],[],[]
1859,q9'y 2 hours fy al2sbw3 fy hwayaty,6612590248,discuss_hobbies,mixed,"en, ar-Eg","[(5, 6), (7, 12)]","[(0, 4), (13, 15), (16, 23), (24, 26), (27, 34)]",[],[],[],[],[],[]
2796,ايوه مظبوط بصمم مواقع web,6621470153,complain_job,non_romanised,"en, ar-Eg","[(22, 25)]",[],"[(0, 4), (5, 10), (11, 15), (16, 21)]",[],[],[],[],[]
5130,correct?,6607986686,random,non_romanised,en,"[(0, 7)]",[],[],[],[],[],[],[]
5244,I hop to be with you,6608001529,discuss_weekend,non_romanised,en,"[(0, 1), (2, 5), (6, 8), (9, 11), (12, 16), (17, 20)]",[],[],[],[],[],[],[]
5290,fekra helwa,6608004464,teach_general,romanised,ar-Eg,[],"[(0, 5), (6, 11)]",[],[],[],[],[],[]
6086,aywa 6b3a ana akhdt b6l aljmhwrya fa alsba7a alsna alma9'ya,6608186687,random,romanised,ar-Eg,[],"[(0, 4), (5, 9), (10, 13), (14, 19), (20, 23), (24, 33), (34, 36), (37, 44), (45, 50), (51, 59)]",[],[],[],[],[],[]
6762,Shedy helek fy elly gay.,6608592784,random,romanised,ar-Eg,[],"[(0, 5), (6, 11), (12, 14), (15, 19), (20, 24)]",[],[],[],[],[],[]
7136,Fiʻlān Iḥnā Law ʻmlnā kdh hnwfr kitīr,6608983374,random,romanised,ar-Eg,[],"[(12, 15), (22, 25), (26, 31)]",[],[],[],[],[],[]
13368,Che I mix my own sh59eya with it,6627314098,teach_general,mixed,"en, ar-Gu","[(4, 5), (6, 9), (10, 12), (13, 16), (25, 29), (30, 32)]","[(0, 3), (17, 24)]",[],[],[],[],[],[]
13973,"Yes! 3ndi a cat, a fish, w klba",6627316973,debate_general,mixed,"en, ar-Gu","[(0, 3), (10, 11), (12, 15), (17, 18), (19, 23)]","[(5, 9), (25, 26), (27, 31)]",[],[],[],[],[],[]
14853,hiii,6610481924,organise_event,non_romanised,en,"[(0, 4)]",[],[],[],[],[],[],[]
15227,wayed harr,6614771567,discuss_weather,romanised,ar-Gu,[],"[(0, 5), (6, 10)]",[],[],[],[],[],[]
17309,Bssech Enty w diay,6626076718,teach_general,romanised,ar-Gu,[],"[(0, 6), (7, 11), (12, 13), (14, 18)]",[],[],[],[],[],[]
17435,Ana swaitly sh’3l w klshay hni,6626078745,random,romanised,ar-Gu,[],"[(0, 3), (4, 11), (12, 14), (15, 17), (18, 19), (20, 26), (27, 30)]",[],[],[],[],[],[]
17512,Yboni a6l3 mn el bait,6626079247,random,romanised,ar-Gu,[],"[(0, 5), (6, 10), (11, 13), (14, 16), (17, 21)]",[],[],[],[],[],[]
18309,W Ana elly yalsa adf3 w aswi,6626668747,random,romanised,ar-Gu,[],"[(0, 1), (2, 5), (6, 10), (11, 16), (17, 21), (22, 23), (24, 28)]",[],[],[],[],[],[]
18447,El ejaza sboo3,6626670398,random,romanised,ar-Gu,[],"[(0, 2), (3, 8), (9, 14)]",[],[],[],[],[],[]
18878,لا صراحة,6626823802,random,non_romanised,ar-Gu,[],[],"[(0, 2), (3, 8)]",[],[],[],[],[]
20012,"nice, shu 3mlt kaman?",6607945584,discuss_weekend,mixed,"en, ar-Le","[(0, 4)]","[(6, 9), (10, 14), (15, 20)]",[],[],[],[],[],[]
20574,helo o badeen connect our account with our Instagram account,6614798850,random,mixed,"en, ar-Le","[(14, 21), (22, 25), (26, 33), (34, 38), (39, 42), (43, 52), (53, 60)]","[(0, 4), (5, 6), (7, 13)]",[],[],[],[],[],[]
20846,"mmmm, tnaynetoun good choice, ente nake",6617029406,random,mixed,"en, ar-Le","[(17, 21), (22, 28)]","[(0, 4), (6, 16), (30, 34), (35, 39)]",[],[],[],[],[],[]
21604,badak teje tet8ada with us?,6626472658,random,mixed,"en, ar-Le","[(19, 23), (24, 26)]","[(0, 5), (6, 10), (11, 18)]",[],[],[],[],[],[]
22322,"Ma fi storms, fi wind jayi min sharek, hot dry wind.",6628589004,discuss_weather,mixed,"en, ar-Le","[(6, 12), (17, 21), (39, 42), (43, 46), (47, 51)]","[(0, 2), (3, 5), (14, 16), (22, 26), (27, 30), (31, 37)]",[],[],[],[],[],[]
22945,Kan el sh3or jdan nice,6630808939,random,mixed,"en, ar-Le","[(18, 22)]","[(0, 3), (4, 6), (7, 12), (13, 17)]",[],[],[],[],[],[]
23361,ok nyyalo,6631424880,random,mixed,"en, ar-Le","[(0, 2)]","[(3, 9)]",[],[],[],[],[],[]
23931,you have to go 3ala western union w tes7ab the amount,6631937325,random,mixed,"en, ar-Le","[(0, 3), (4, 8), (9, 11), (12, 14), (20, 27), (28, 33), (43, 46), (47, 53)]","[(15, 19), (34, 35), (36, 42)]",[],[],[],[],[],[]
23975,0k la2eno i need to put solar panel,6631937487,random,mixed,"en, ar-Le","[(10, 11), (12, 16), (17, 19), (20, 23), (24, 29), (30, 35)]","[(0, 2), (3, 9)]",[],[],[],[],[],[]
25087,"Yalla ,alla ywaf2ak,kello byo2ta3.",6607956633,random,romanised,ar-Le,[],"[(0, 5), (7, 11), (12, 19), (20, 25), (26, 34)]",[],[],[],[],[],[]
25297,"eh khalik blebnen ,hone elba7er a7la",6607970948,debate_general,romanised,ar-Le,[],"[(0, 2), (3, 9), (10, 17), (19, 23), (24, 31), (32, 36)]",[],[],[],[],[],[]
26575,lesh ma ejet?,6609111650,random,romanised,ar-Le,[],"[(0, 4), (5, 7), (8, 12)]",[],[],[],[],[],[]
